state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative,avr_positive_tweet_sentiment,avr_neutral_tweet_sentiment,avr_negative_tweet_sentiment
TAS,14/08/2021,0,375422,4267,NA,NA,NA,NA,NA,NA
VIC,14/08/2021,21,3970074,65193,0.51,0.096666667,0.393333333,0.144705882,0.193529412,0.661764706
NSW,13/08/2021,391,4879443,106331,0.286923077,0.031538462,0.681538462,0.183846154,0.184615385,0.631538462
QLD,13/08/2021,8,2754935,48815,0.56,0.042,0.398,NA,NA,NA
TAS,13/08/2021,0,371155,5936,0.58,0.09,0.33,NA,NA,NA
VIC,13/08/2021,15,3904881,64266,0.7275,0.05,0.2225,0.2128,0.2072,0.58
NSW,12/08/2021,347,4773112,105064,0.252307692,0.033846154,0.713846154,0.333333333,0.365555556,0.301111111
QLD,12/08/2021,11,2706120,46691,0.5425,0.0425,0.415,0.295,0.36,0.345
TAS,12/08/2021,0,365219,4254,NA,NA,NA,0,0,1
VIC,12/08/2021,23,3840615,61606,0.56,0.0325,0.4075,0.28,0.266470588,0.453529412
NSW,11/08/2021,344,4668048,106592,0.473636364,0.042727273,0.483636364,0.404444444,0.512222222,0.083333333
QLD,11/08/2021,4,2659429,47451,0.666,0.044,0.29,0.1775,0.4525,0.37
TAS,11/08/2021,0,360965,4695,0.433333333,0.086666667,0.48,NA,NA,NA
VIC,11/08/2021,20,3779009,55469,0.4675,0.06375,0.46875,0.057142857,0.271428571,0.671428571
NSW,10/08/2021,360,4561456,98244,0.368181818,0.042727273,0.589090909,0.274285714,0.294285714,0.431428571
QLD,10/08/2021,3,2611978,37938,0.568571429,0.072857143,0.358571429,0.04,0.445,0.515
TAS,10/08/2021,0,356270,4363,NA,NA,NA,NA,NA,NA
VIC,10/08/2021,20,3723540,57536,0.43,0.265,0.305,0.208181818,0.363636364,0.428181818
NSW,9/08/2021,285,4463212,25483,0.51375,0.0325,0.45375,0.377777778,0.133333333,0.488888889
QLD,9/08/2021,5,2574040,11022,0.598333333,0.075,0.326666667,0.065,0.4675,0.4675
TAS,9/08/2021,0,351907,5999,0.255,0.065,0.68,NA,NA,NA
VIC,9/08/2021,11,3666004,25225,0.435,0.045,0.52,0.596,0.156666667,0.247333333
NSW,8/08/2021,268,4437729,58317,0.474285714,0.058571429,0.467142857,0.176666667,0.248888889,0.574444444
QLD,8/08/2021,9,2563018,22169,0.482857143,0.08,0.437142857,0.31,0.1775,0.5125
TAS,8/08/2021,0,345908,1385,0.39,0.105,0.505,NA,NA,NA
VIC,8/08/2021,12,3640779,32443,0.6625,0.055,0.2825,0.29952381,0.208095238,0.492380952
NSW,7/08/2021,321,4379412,89499,0.207,0.027,0.766,0.10875,0.18125,0.71
QLD,7/08/2021,13,2540849,46047,0.4475,0.0825,0.47,0.006666667,0.04,0.953333333
TAS,7/08/2021,0,344523,1530,0.135,0.05,0.815,NA,NA,NA
VIC,7/08/2021,29,3608336,50115,0.525,0.065,0.41,0.053,0.384,0.563
NSW,6/08/2021,291,4289913,93626,0.324,0.046,0.63,0.015,0.40125,0.58375
QLD,6/08/2021,10,2494802,49957,0.562,0.042,0.396,0.28,0.06,0.66
TAS,6/08/2021,0,342993,5494,0.31,0.07,0.62,0.03,0.02,0.95
VIC,6/08/2021,6,3558221,48738,NA,NA,NA,0.236666667,0.216666667,0.546666667
NSW,5/08/2021,268,4196287,83620,0.360909091,0.047272727,0.591818182,0.08,0.59,0.33
QLD,5/08/2021,27,2444845,47485,0.562,0.042,0.396,0.224,0.248,0.528
TAS,5/08/2021,1,337499,2789,0.36,0.04,0.6,0.02,0.96,0.02
VIC,5/08/2021,6,3509483,45939,0.5375,0.0575,0.405,0.137333333,0.314,0.548666667
NSW,4/08/2021,234,4112667,84545,0.278181818,0.040909091,0.680909091,0.34,0.04,0.62
QLD,4/08/2021,19,2397360,44275,0.50375,0.08125,0.415,0.2,0.2875,0.5125
TAS,4/08/2021,0,334710,4929,NA,NA,NA,NA,NA,NA
VIC,4/08/2021,1,3463544,41767,0.52,0.046666667,0.433333333,0.338888889,0.275555556,0.385555556
NSW,3/08/2021,202,4028122,84623,0.361,0.039,0.6,0.377857143,0.331428571,0.290714286
QLD,3/08/2021,16,2353085,34704,0.47375,0.075,0.45125,0.18,0.56,0.26
TAS,3/08/2021,0,329781,3298,NA,NA,NA,NA,NA,NA
VIC,3/08/2021,5,3421777,45236,0.35,0.0275,0.6225,0.18,0.30125,0.51875
NSW,2/08/2021,209,3943499,25888,0.35,0.03,0.62,0.092666667,0.186,0.721333333
QLD,2/08/2021,15,2318381,8141,0.444285714,0.077142857,0.478571429,0.01,0.14,0.85
TAS,2/08/2021,0,326483,5488,0.315,0.04,0.645,0.255,0.49,0.255
VIC,2/08/2021,2,3376541,19507,NA,NA,NA,0.196,0.387,0.417
NSW,1/08/2021,241,3917611,45831,0.342,0.031,0.627,0.181363636,0.399090909,0.419545455
QLD,1/08/2021,9,2310240,13563,0.34,0.053333333,0.606666667,0.215714286,0.042857143,0.741428571
TAS,1/08/2021,0,320995,1194,NA,NA,NA,NA,NA,NA
VIC,1/08/2021,4,3357034,28288,NA,NA,NA,0.204285714,0.255714286,0.54
