"","state","date","daily_newcase","total_doses","daily_doses","transcript_sentiment_positive","transcript_sentiment_neutral","transcript_sentiment_negative","avr_positive_tweet_sentiment","avr_neutral_tweet_sentiment","avr_negative_tweet_sentiment"
"184","VIC",2021-03-06,0,12851,1944,NA,NA,NA,NA,NA,NA
"185","VIC",2021-03-05,0,10907,2262,NA,NA,NA,NA,NA,NA
"186","VIC",2021-03-04,0,8645,1969,NA,NA,NA,NA,NA,NA
"187","VIC",2021-03-03,0,6676,1656,NA,NA,NA,NA,NA,NA
"188","VIC",2021-03-02,0,5020,1158,NA,NA,NA,NA,NA,NA
"189","VIC",2021-03-01,0,3862,100,NA,NA,NA,NA,NA,NA
"190","VIC",2021-02-28,0,3762,149,NA,NA,NA,NA,NA,NA
"191","VIC",2021-02-27,0,3613,711,NA,NA,NA,NA,NA,NA
"192","VIC",2021-02-26,2,2902,839,NA,NA,NA,NA,NA,NA
"193","VIC",2021-02-25,0,2063,808,NA,NA,NA,NA,NA,NA
"194","VIC",2021-02-24,0,1255,675,NA,NA,NA,NA,NA,NA
"195","VIC",2021-02-23,0,580,580,NA,NA,NA,NA,NA,NA
"196","VIC",2021-02-22,0,0,0,NA,NA,NA,NA,NA,NA
"197","VIC",2021-02-21,0,0,0,NA,NA,NA,NA,NA,NA
"198","VIC",2021-02-20,0,0,0,NA,NA,NA,NA,NA,NA
"199","VIC",2021-02-19,3,0,0,NA,NA,NA,NA,NA,NA
"200","VIC",2021-02-18,1,0,0,NA,NA,NA,NA,NA,NA
"201","VIC",2021-02-17,0,0,0,NA,NA,NA,NA,NA,NA
"202","VIC",2021-02-16,4,0,0,NA,NA,NA,NA,NA,NA
"203","VIC",2021-02-15,2,0,0,NA,NA,NA,NA,NA,NA
"204","NSW",2021-09-05,1487,7374708,0,NA,NA,NA,NA,NA,NA
"205","NSW",2021-09-04,1534,7374708,129258,NA,NA,NA,NA,NA,NA
"206","NSW",2021-09-03,1432,7245450,114726,NA,NA,NA,NA,NA,NA
"207","NSW",2021-09-02,1288,7130724,139914,NA,NA,NA,NA,NA,NA
"208","NSW",2021-09-01,1118,6990810,121170,NA,NA,NA,0.195555555555556,0.329753086419753,0.474691358024691
"209","NSW",2021-08-31,1168,6869640,148297,NA,NA,NA,0.186888888888889,0.284952380952381,0.52815873015873
"210","NSW",2021-08-30,1293,6721343,71944,NA,NA,NA,0.171566666666667,0.367566666666667,0.460866666666667
"211","NSW",2021-08-29,1221,6649399,68410,NA,NA,NA,0.174323607427056,0.282068965517241,0.543607427055703
"212","NSW",2021-08-28,1036,6580989,138694,NA,NA,NA,0.187374517374517,0.338725868725869,0.473899613899614
"213","NSW",2021-08-27,885,6442295,138460,NA,NA,NA,0.162987421383648,0.317955974842767,0.519056603773585
"214","NSW",2021-08-26,1034,6303835,142977,NA,NA,NA,0.175920679886686,0.32371104815864,0.500368271954674
"215","NSW",2021-08-25,921,6160858,130784,NA,NA,NA,0.17987987987988,0.324174174174174,0.495945945945946
"216","NSW",2021-08-24,755,6030074,124645,NA,NA,NA,0.175789473684211,0.341578947368421,0.482631578947368
"217","NSW",2021-08-23,818,5905429,59766,NA,NA,NA,0.24,0.153888888888889,0.606111111111111
"218","NSW",2021-08-22,830,5845663,79383,0.282,0.026,0.692,0.355,0.27,0.375
