state,date,daily_newcase,total_doses,daily_doses,transcript_sentiment_positive,transcript_sentiment_neutral,transcript_sentiment_negative
NSW,5/09/2021,1487,7374708,0,NA,NA,NA
NSW,4/09/2021,1534,7374708,129258,NA,NA,NA
NSW,3/09/2021,1432,7245450,114726,NA,NA,NA
NSW,2/09/2021,1288,7130724,139914,NA,NA,NA
NSW,1/09/2021,1118,6990810,121170,NA,NA,NA
NSW,31/08/2021,1168,6869640,148297,NA,NA,NA
NSW,30/08/2021,1293,6721343,71944,NA,NA,NA
NSW,29/08/2021,1221,6649399,68410,NA,NA,NA
NSW,28/08/2021,1036,6580989,138694,NA,NA,NA
NSW,27/08/2021,885,6442295,138460,NA,NA,NA
NSW,26/08/2021,1034,6303835,142977,NA,NA,NA
NSW,25/08/2021,921,6160858,130784,NA,NA,NA
NSW,24/08/2021,755,6030074,124645,NA,NA,NA
NSW,23/08/2021,818,5905429,59766,NA,NA,NA
NSW,22/08/2021,830,5845663,79383,0.282,0.026,0.692
NSW,21/08/2021,832,5766280,127264,0.32,0.07,0.61
NSW,20/08/2021,646,5639016,120581,0.32,0.043076923,0.636923077
NSW,19/08/2021,684,5518435,132439,0.3075,0.038333333,0.654166667
NSW,18/08/2021,634,5385996,109550,0.285555556,0.04,0.674444444
NSW,17/08/2021,454,5276446,106122,0.295833333,0.034166667,0.67
NSW,16/08/2021,480,5170324,119652,0.366363636,0.040909091,0.592727273
NSW,15/08/2021,417,5050672,65634,0.388888889,0.027777778,0.583333333
NSW,14/08/2021,467,4985038,105595,0.320909091,0.037272727,0.641818182
NSW,13/08/2021,391,4879443,106331,0.286923077,0.031538462,0.681538462
NSW,12/08/2021,347,4773112,105064,0.252307692,0.033846154,0.713846154
NSW,11/08/2021,344,4668048,106592,0.473636364,0.042727273,0.483636364
NSW,10/08/2021,360,4561456,98244,0.368181818,0.042727273,0.589090909
NSW,9/08/2021,285,4463212,25483,0.51375,0.0325,0.45375
NSW,8/08/2021,268,4437729,58317,0.474285714,0.058571429,0.467142857
NSW,7/08/2021,321,4379412,89499,0.207,0.027,0.766
NSW,6/08/2021,291,4289913,93626,0.324,0.046,0.63
NSW,5/08/2021,268,4196287,83620,0.360909091,0.047272727,0.591818182
NSW,4/08/2021,234,4112667,84545,0.278181818,0.040909091,0.680909091
NSW,3/08/2021,202,4028122,84623,0.361,0.039,0.6
NSW,2/08/2021,209,3943499,25888,0.35,0.03,0.62
NSW,1/08/2021,241,3917611,45831,0.342,0.031,0.627
NSW,31/07/2021,212,3871780,82220,0.153333333,0.03,0.816666667
NSW,30/07/2021,172,3789560,83637,0.267,0.034,0.699
NSW,29/07/2021,240,3705923,79319,0.265454545,0.035454545,0.699090909
NSW,28/07/2021,177,3626604,76927,0.385384615,0.026923077,0.587692308
NSW,27/07/2021,175,3549677,71396,0.3375,0.025,0.6375
NSW,26/07/2021,151,3478281,23449,0.414,0.028,0.558
